Date,Adj Close,Close,High,Low,Open,Volume,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,Typical_Price,Typical_Price_Return,Returns,Daily_Return
2020-04-08,371.1199951171875,371.1199951171875,378.3900146484375,368.30999755859375,374.010009765625,6908900.0,2749.98,108.7,1.0864,7343.65,3.4,0.84,1.29,0.46,-0.09,0.0,-26.5243,372.60666910807294,-0.45787683277866975,-1.160003662109375,-0.003120808751993387
2020-04-09,370.7200012207031,370.7200012207031,372.1000061035156,363.0299987792969,371.05999755859375,7711300.0,2789.82,108.38,1.0931,7294.69,1.59,2.43,3.16,-0.88,-0.06,0.0,-26.4711,368.6166687011719,-1.0766090982162524,-0.399993896484375,-0.0010783833096681406
2020-04-14,413.54998779296875,413.54998779296875,417.82000732421875,394.8500061035156,397.5,11581000.0,2846.06,107.08,1.0971,6865.72,3.02,-0.72,-3.16,0.26,-0.33,0.0,-25.5734,408.74000040690106,5.127524847667608,16.829986572265625,0.04154765136238048
2020-04-15,426.75,426.75,434.9800109863281,412.25,413.0,13561200.0,2783.36,107.42,1.0909,6576.76,-2.15,-1.95,-2.55,-0.4,-0.22,0.0,-25.2208,424.6600036621094,3.820959930138379,13.20001220703125,0.03141996505430189
2020-04-16,439.1700134277344,439.1700134277344,449.5199890136719,431.6099853515625,437.0,16128700.0,2799.55,107.72,1.084,7123.29,0.62,-0.8,-2.97,-0.29,-0.3,0.0,-24.8051,440.09999593098956,3.5713107194121463,12.420013427734375,0.02868825075213355
2020-04-17,422.9599914550781,422.9599914550781,432.0,414.70001220703125,431.0,12616300.0,2874.56,107.52,1.0883,7055.22,2.72,1.51,2.77,-0.15,-0.02,0.0,-24.3263,423.2200012207031,-3.9109823280448097,-16.21002197265625,-0.037609020702160656
2020-04-21,433.8299865722656,433.8299865722656,447.0,425.6000061035156,444.7699890136719,23177600.0,2736.56,107.69,1.0854,6845.0,-3.08,0.93,0.16,0.27,0.41,0.0,-21.787,435.47666422526044,-0.4665953794821931,-3.660003662109375,-0.008401104728438469
2020-04-22,421.4200134277344,421.4200134277344,433.0,413.0,429.7300109863281,21084800.0,2799.31,107.81,1.0829,7143.99,2.31,-0.88,-1.64,0.1,0.04,0.0,-21.0012,422.4733378092448,-3.031487195933291,-12.40997314453125,-0.02902272839147635
2020-04-23,426.70001220703125,426.70001220703125,438.4100036621094,419.260009765625,419.260009765625,13952300.0,2797.8,107.65,1.0815,7479.06,0.13,1.26,0.54,0.54,-0.24,0.0,-20.155,428.1233418782552,1.3284996994852527,5.279998779296875,0.012451225850218073
2020-04-24,424.989990234375,424.989990234375,427.1700134277344,415.8800048828125,425.0,8658900.0,2836.74,107.44,1.0798,7514.64,1.44,0.23,-0.13,-0.18,0.15,0.0,-19.2479,422.6800028483073,-1.2795937712377636,-1.71002197265625,-0.004015602544598984
2020-04-28,403.8299865722656,403.8299865722656,421.0,402.9100036621094,419.989990234375,10101200.0,2863.39,106.83,1.0836,7774.39,-0.45,1.72,2.85,1.35,0.74,0.0,-14.9897,409.2466634114583,-3.4801997273135044,-17.550018310546875,-0.042541086913501225
2020-04-29,411.8900146484375,411.8900146484375,415.8599853515625,393.6000061035156,399.5299987792969,9693100.0,2939.51,106.67,1.0853,8789.1,2.92,2.31,2.0,1.23,-0.86,0.0,-13.7585,407.1166687011719,-0.5218263633016917,8.060028076171875,0.019762394900812552
2020-04-30,419.8500061035156,419.8500061035156,424.44000244140625,408.0,410.30999755859375,7954000.0,2912.43,106.94,1.0934,8652.3,-1.18,-2.05,-1.69,0.64,-0.03,0.0,-12.4594,417.4300028483073,2.501707273614251,7.959991455078125,0.01914116019297829
2020-05-01,415.2699890136719,415.2699890136719,427.9700012207031,411.7300109863281,415.1000061035156,8299900.0,2830.71,106.76,1.0998,8813.9,-2.91,-0.89,-0.96,-0.36,0.35,0.0,-11.0917,418.3233337402344,0.21377868158891644,-4.58001708984375,-0.0109686345324711
2020-05-05,424.67999267578125,424.67999267578125,431.0,421.55999755859375,427.55999755859375,6286300.0,2868.44,106.52,1.0844,9037.69,0.95,-0.29,-2.02,-0.49,-0.51,0.0,-6.21202,425.7466634114583,0.4457001024536389,-3.470001220703125,-0.008137660317715678
2020-05-06,434.260009765625,434.260009765625,439.7699890136719,426.3900146484375,429.29998779296875,6660700.0,2848.42,106.07,1.0806,9132.24,-0.52,0.11,-2.7,0.22,-0.57,0.0,-5.12441,433.4733378092448,1.7985807306713397,9.58001708984375,0.02230752865466279
2020-05-07,436.5299987792969,436.5299987792969,438.8800048828125,430.6600036621094,436.8900146484375,5641900.0,2881.19,106.36,1.0815,10007.56,1.33,0.15,0.41,-0.12,-0.6,0.0,-4.08797,435.35666910807294,0.433533426244459,2.269989013671875,0.00521364309032446
2020-05-08,435.54998779296875,435.54998779296875,442.0,433.6400146484375,434.1400146484375,5049300.0,2929.8,106.5,1.0854,9790.23,1.9,1.89,2.46,0.84,0.42,0.0,-3.10231,437.06333414713544,0.39124898781999207,-0.980010986328125,-0.0022475264057222333
2020-05-12,431.82000732421875,431.82000732421875,444.1700134277344,431.3599853515625,442.0,4598200.0,2870.12,107.33,1.0864,8809.14,-2.06,-1.11,-1.36,-0.61,-0.03,0.0,0.381345,435.78333536783856,-1.0364123847224072,-8.699981689453125,-0.019946970648243578
2020-05-13,438.2699890136719,438.2699890136719,447.0,427.2699890136719,435.69000244140625,7014600.0,2820.0,106.92,1.0837,9335.84,-1.89,-1.42,-2.09,-0.07,-0.27,0.0,1.15985,437.51332600911456,0.3961982178114276,6.449981689453125,0.01482628203599834
2020-05-14,441.95001220703125,441.95001220703125,452.3800048828125,432.82000732421875,444.8999938964844,9007500.0,2852.5,107.09,1.08,9815.22,1.14,-1.08,0.94,0.61,0.16,0.0,1.90339,442.3833414713542,1.1069629813964532,3.680023193359375,0.008361647382755244
2020-05-15,454.19000244140625,454.19000244140625,455.0,437.510009765625,440.70001220703125,7244000.0,2863.7,107.27,1.0816,9331.18,0.57,1.34,-1.15,0.0,-0.77,0.0,2.61225,448.90000406901044,1.4623360255130002,12.239990234375,0.027318836943867275
2020-05-19,451.0400085449219,451.0400085449219,458.9700012207031,450.4700012207031,453.3999938964844,4810500.0,2922.94,107.89,1.0937,9783.91,-1.01,-0.75,-1.49,0.51,-0.59,0.0,5.09439,453.4933369954427,0.6038151318166207,-1.53997802734375,-0.003408467113555247
2020-05-20,447.6700134277344,447.6700134277344,455.80999755859375,444.0,454.25,5607300.0,2971.61,107.46,1.098,9497.76,1.8,1.22,1.32,-0.25,-0.26,0.0,5.62182,449.1600036621094,-0.9601397187126715,-3.3699951171875,-0.007499662472230106
2020-05-21,436.25,436.25,448.9599914550781,430.25,448.55999755859375,9117300.0,2948.51,107.69,1.0953,9039.12,-0.7,0.74,0.4,0.15,0.04,0.0,6.11204,438.4866638183594,-2.4049781692871974,-11.420013427734375,-0.025840910321866417
2020-05-22,429.32000732421875,429.32000732421875,439.0899963378906,427.17999267578125,437.0,5422300.0,2955.45,107.5,1.0894,9173.23,0.27,0.26,-0.85,-0.55,-0.34,0.0,6.56525,431.8633321126302,-1.5220220823639607,-6.92999267578125,-0.016012894843267844
2020-05-27,419.8900146484375,419.8900146484375,420.0199890136719,397.8599853515625,410.3800048828125,10446300.0,3036.13,107.79,1.0969,9200.0,1.54,1.42,3.62,0.77,0.36,0.0,8.27454,412.5899963378906,-1.4947086209272875,5.120025634765625,0.012268683858303042
2020-05-28,413.44000244140625,413.44000244140625,422.3699951171875,411.5,417.239990234375,5655100.0,3029.73,107.67,1.1069,9593.72,-0.41,-2.07,-2.43,-0.24,0.09,0.0,8.50405,415.76999918619794,0.7677865872661727,-6.45001220703125,-0.015480400039549203
2020-05-29,419.7300109863281,419.7300109863281,420.29998779296875,411.8500061035156,417.4599914550781,5254900.0,3044.31,107.77,1.1107,9426.87,0.6,-0.79,-1.97,-0.32,-0.38,0.0,8.69628,417.2933349609375,0.3657194861883539,6.290008544921875,0.01509926652876814
2020-06-02,427.30999755859375,427.30999755859375,427.5899963378906,419.4599914550781,425.8699951171875,3494800.0,3080.82,108.6,1.1166,9509.35,0.81,0.06,0.54,0.14,0.26,0.0,9.14048,424.7866617838542,0.451436459595822,1.389984130859375,0.0032581726910638764
